station_id,latitude,longitude,original_time,timestamp,year,month,day,hour,day_of_year,temperature,pressure,humidity
CWPRS campus,18.446944,73.785,11-05-2024 00:00,2024-05-11 00:00:00,2024,5,11,0,132,24.9,952.7,69.5
CWPRS campus,18.446944,73.785,11-05-2024 00:05,2024-05-11 00:05:00,2024,5,11,0,132,24.9,952.74,69.6
CWPRS campus,18.446944,73.785,11-05-2024 00:10,2024-05-11 00:10:00,2024,5,11,0,132,24.8,952.59,69.8
CWPRS campus,18.446944,73.785,11-05-2024 00:15,2024-05-11 00:15:00,2024,5,11,0,132,24.9,952.48,69.3
CWPRS campus,18.446944,73.785,11-05-2024 00:20,2024-05-11 00:20:00,2024,5,11,0,132,25.0,952.23,69.8
CWPRS campus,18.446944,73.785,11-05-2024 00:25,2024-05-11 00:25:00,2024,5,11,0,132,24.9,952.16,69.6
CWPRS campus,18.446944,73.785,11-05-2024 00:30,2024-05-11 00:30:00,2024,5,11,0,132,24.8,952.23,69.9
CWPRS campus,18.446944,73.785,11-05-2024 00:35,2024-05-11 00:35:00,2024,5,11,0,132,24.9,952.27,70.3
CWPRS campus,18.446944,73.785,11-05-2024 00:40,2024-05-11 00:40:00,2024,5,11,0,132,24.9,952.25,71.1
CWPRS campus,18.446944,73.785,11-05-2024 00:45,2024-05-11 00:45:00,2024,5,11,0,132,24.8,952.25,70.8
CWPRS campus,18.446944,73.785,11-05-2024 00:50,2024-05-11 00:50:00,2024,5,11,0,132,24.8,952.2,69.8
CWPRS campus,18.446944,73.785,11-05-2024 00:55,2024-05-11 00:55:00,2024,5,11,0,132,24.6,952.22,70.1
CWPRS campus,18.446944,73.785,11-05-2024 01:00,2024-05-11 01:00:00,2024,5,11,1,132,24.5,952.29,71.1
CWPRS campus,18.446944,73.785,11-05-2024 01:05,2024-05-11 01:05:00,2024,5,11,1,132,24.5,952.17,71.8
CWPRS campus,18.446944,73.785,11-05-2024 01:10,2024-05-11 01:10:00,2024,5,11,1,132,24.1,952.21,72.1
CWPRS campus,18.446944,73.785,11-05-2024 01:15,2024-05-11 01:15:00,2024,5,11,1,132,23.8,952.3,72.0
CWPRS campus,18.446944,73.785,11-05-2024 01:20,2024-05-11 01:20:00,2024,5,11,1,132,23.7,952.29,72.5
CWPRS campus,18.446944,73.785,11-05-2024 01:25,2024-05-11 01:25:00,2024,5,11,1,132,23.5,952.36,72.3
CWPRS campus,18.446944,73.785,11-05-2024 01:30,2024-05-11 01:30:00,2024,5,11,1,132,23.6,952.61,72.6
CWPRS campus,18.446944,73.785,11-05-2024 01:35,2024-05-11 01:35:00,2024,5,11,1,132,23.4,952.62,72.9
CWPRS campus,18.446944,73.785,11-05-2024 01:40,2024-05-11 01:40:00,2024,5,11,1,132,23.2,952.67,73.4
CWPRS campus,18.446944,73.785,11-05-2024 01:45,2024-05-11 01:45:00,2024,5,11,1,132,23.4,952.63,74.6
CWPRS campus,18.446944,73.785,11-05-2024 01:50,2024-05-11 01:50:00,2024,5,11,1,132,23.4,952.66,74.7
CWPRS campus,18.446944,73.785,11-05-2024 01:55,2024-05-11 01:55:00,2024,5,11,1,132,23.4,952.73,74.5
CWPRS campus,18.446944,73.785,11-05-2024 02:00,2024-05-11 02:00:00,2024,5,11,2,132,23.2,952.77,74.5
CWPRS campus,18.446944,73.785,11-05-2024 02:05,2024-05-11 02:05:00,2024,5,11,2,132,23.1,952.72,73.8
CWPRS campus,18.446944,73.785,11-05-2024 02:10,2024-05-11 02:10:00,2024,5,11,2,132,23.2,952.77,73.5
CWPRS campus,18.446944,73.785,11-05-2024 02:15,2024-05-11 02:15:00,2024,5,11,2,132,23.0,952.92,73.4
CWPRS campus,18.446944,73.785,11-05-2024 02:20,2024-05-11 02:20:00,2024,5,11,2,132,23.1,952.99,73.2
CWPRS campus,18.446944,73.785,11-05-2024 02:25,2024-05-11 02:25:00,2024,5,11,2,132,23.1,953.1,73.2
CWPRS campus,18.446944,73.785,11-05-2024 02:30,2024-05-11 02:30:00,2024,5,11,2,132,23.1,953.12,72.9
CWPRS campus,18.446944,73.785,11-05-2024 02:35,2024-05-11 02:35:00,2024,5,11,2,132,23.0,953.22,73.4
CWPRS campus,18.446944,73.785,11-05-2024 02:40,2024-05-11 02:40:00,2024,5,11,2,132,23.4,953.28,73.3
CWPRS campus,18.446944,73.785,11-05-2024 02:45,2024-05-11 02:45:00,2024,5,11,2,132,23.4,953.24,73.3
CWPRS campus,18.446944,73.785,11-05-2024 02:50,2024-05-11 02:50:00,2024,5,11,2,132,23.3,953.31,73.1
CWPRS campus,18.446944,73.785,11-05-2024 02:55,2024-05-11 02:55:00,2024,5,11,2,132,23.5,953.27,73.1
CWPRS campus,18.446944,73.785,11-05-2024 03:00,2024-05-11 03:00:00,2024,5,11,3,132,23.3,953.27,73.4
CWPRS campus,18.446944,73.785,11-05-2024 03:05,2024-05-11 03:05:00,2024,5,11,3,132,23.4,953.34,72.9
CWPRS campus,18.446944,73.785,11-05-2024 03:10,2024-05-11 03:10:00,2024,5,11,3,132,23.2,953.42,72.6
CWPRS campus,18.446944,73.785,11-05-2024 03:15,2024-05-11 03:15:00,2024,5,11,3,132,23.1,953.37,72.4
CWPRS campus,18.446944,73.785,11-05-2024 03:20,2024-05-11 03:20:00,2024,5,11,3,132,23.2,953.52,71.7
CWPRS campus,18.446944,73.785,11-05-2024 03:25,2024-05-11 03:25:00,2024,5,11,3,132,23.4,953.62,71.3
CWPRS campus,18.446944,73.785,11-05-2024 03:30,2024-05-11 03:30:00,2024,5,11,3,132,23.5,953.62,71.1
CWPRS campus,18.446944,73.785,11-05-2024 03:35,2024-05-11 03:35:00,2024,5,11,3,132,23.5,953.55,71.3
CWPRS campus,18.446944,73.785,11-05-2024 03:40,2024-05-11 03:40:00,2024,5,11,3,132,23.6,953.61,71.3
CWPRS campus,18.446944,73.785,11-05-2024 03:45,2024-05-11 03:45:00,2024,5,11,3,132,23.5,953.64,71.3
CWPRS campus,18.446944,73.785,11-05-2024 03:50,2024-05-11 03:50:00,2024,5,11,3,132,23.4,953.71,71.5
CWPRS campus,18.446944,73.785,11-05-2024 03:55,2024-05-11 03:55:00,2024,5,11,3,132,23.5,953.75,71.3
CWPRS campus,18.446944,73.785,11-05-2024 04:00,2024-05-11 04:00:00,2024,5,11,4,132,23.8,953.66,71.2
CWPRS campus,18.446944,73.785,11-05-2024 04:05,2024-05-11 04:05:00,2024,5,11,4,132,23.9,953.7,71.0
CWPRS campus,18.446944,73.785,11-05-2024 04:10,2024-05-11 04:10:00,2024,5,11,4,132,23.7,953.75,70.9
CWPRS campus,18.446944,73.785,11-05-2024 04:15,2024-05-11 04:15:00,2024,5,11,4,132,23.9,953.87,70.4
CWPRS campus,18.446944,73.785,11-05-2024 04:20,2024-05-11 04:20:00,2024,5,11,4,132,24.0,953.89,69.3
CWPRS campus,18.446944,73.785,11-05-2024 04:25,2024-05-11 04:25:00,2024,5,11,4,132,24.0,954.1,69.0
CWPRS campus,18.446944,73.785,11-05-2024 04:30,2024-05-11 04:30:00,2024,5,11,4,132,24.2,954.01,69.4
CWPRS campus,18.446944,73.785,11-05-2024 04:35,2024-05-11 04:35:00,2024,5,11,4,132,24.5,954.19,69.5
