station_id,timestamp,sensor,value,reason,metric_value
CWPRS campus,2024-05-16 00:50:00,temperature,19.4,High rate of change (|Δ| = 6.10 > 4.0),6.100000000000001
CWPRS campus,2024-05-16 01:20:00,temperature,25.2,High rate of change (|Δ| = 5.60 > 4.0),5.599999999999998
CWPRS campus,2024-05-16 00:50:00,humidity,96.9,High rate of change (|Δ| = 25.20 > 25.0),25.200000000000003
Lavale AWS,2024-05-13 02:05:00,temperature,22.6,Prolonged invariant reading (flatline run >= 8),22.6
Lavale AWS,2024-05-13 02:10:00,temperature,22.6,Prolonged invariant reading (flatline run >= 8),22.6
Lavale AWS,2024-05-13 02:15:00,temperature,22.6,Prolonged invariant reading (flatline run >= 8),22.6
Lavale AWS,2024-05-13 02:20:00,temperature,22.6,Prolonged invariant reading (flatline run >= 8),22.6
Lavale AWS,2024-05-13 02:25:00,temperature,22.6,Prolonged invariant reading (flatline run >= 8),22.6
Lavale AWS,2024-05-13 02:30:00,temperature,22.6,Prolonged invariant reading (flatline run >= 8),22.6
Lavale AWS,2024-05-13 02:35:00,temperature,22.6,Prolonged invariant reading (flatline run >= 8),22.6
Lavale AWS,2024-05-13 02:40:00,temperature,22.6,Prolonged invariant reading (flatline run >= 8),22.6
Lavale AWS,2024-05-13 02:45:00,temperature,22.6,Prolonged invariant reading (flatline run >= 8),22.6
Lavale AWS,2024-05-13 02:50:00,temperature,22.6,Prolonged invariant reading (flatline run >= 8),22.6
Lavale AWS,2024-05-13 02:55:00,temperature,22.6,Prolonged invariant reading (flatline run >= 8),22.6
Lavale AWS,2024-05-13 02:05:00,humidity,74.1,Prolonged invariant reading (flatline run >= 8),74.1
Lavale AWS,2024-05-13 02:10:00,humidity,74.1,Prolonged invariant reading (flatline run >= 8),74.1
Lavale AWS,2024-05-13 02:15:00,humidity,74.1,Prolonged invariant reading (flatline run >= 8),74.1
Lavale AWS,2024-05-13 02:20:00,humidity,74.1,Prolonged invariant reading (flatline run >= 8),74.1
Lavale AWS,2024-05-13 02:25:00,humidity,74.1,Prolonged invariant reading (flatline run >= 8),74.1
Lavale AWS,2024-05-13 02:30:00,humidity,74.1,Prolonged invariant reading (flatline run >= 8),74.1
Lavale AWS,2024-05-13 02:35:00,humidity,74.1,Prolonged invariant reading (flatline run >= 8),74.1
Lavale AWS,2024-05-13 02:40:00,humidity,74.1,Prolonged invariant reading (flatline run >= 8),74.1
Lavale AWS,2024-05-13 02:45:00,humidity,74.1,Prolonged invariant reading (flatline run >= 8),74.1
Lavale AWS,2024-05-13 02:50:00,humidity,74.1,Prolonged invariant reading (flatline run >= 8),74.1
Lavale AWS,2024-05-13 02:55:00,humidity,74.1,Prolonged invariant reading (flatline run >= 8),74.1
Pashan AWS,2024-05-14 21:20:00,pressure,961.95,High rate of change (|Δ| = 8.42 > 3.0),8.420000000000073
Pashan AWS,2024-05-14 21:25:00,pressure,953.47,High rate of change (|Δ| = 8.48 > 3.0),8.480000000000018
